#,Referencia,Codigo,Marca,Categoria,Material,Precio Unitario Pza,Precio Docena (x12),Stock Actual (Pzas),Tipo Venta BD
43,"9515C4","9515C4","SIN MARCA","AROS OPTICOS","","$9.20","$110.40",1,"DOCENA"
44,"9515C5","9515C5","SIN MARCA","AROS OPTICOS","","$9.20","$110.40",1,"DOCENA"
45,"9516C1","9516C1","SIN MARCA","AROS OPTICOS","","$9.20","$110.40",8,"DOCENA"
46,"9516C2","9516C2","SIN MARCA","AROS OPTICOS","","$9.20","$110.40",1,"DOCENA"
47,"9516C3","9516C3","SIN MARCA","AROS OPTICOS","","$9.20","$110.40",1,"DOCENA"
48,"9516C4","9516C4","SIN MARCA","AROS OPTICOS","","$9.20","$110.40",1,"DOCENA"
49,"9516C5","9516C5","SIN MARCA","AROS OPTICOS","","$9.20","$110.40",1,"DOCENA"
50,"9520C1","9520C1","SIN MARCA","AROS OPTICOS","","$9.20","$110.40",8,"DOCENA"
51,"9520C3","9520C3","SIN MARCA","AROS OPTICOS","","$9.20","$110.40",1,"DOCENA"
52,"9520C4","9520C4","SIN MARCA","AROS OPTICOS","","$9.20","$110.40",1,"DOCENA"
53,"9520C5","9520C5","SIN MARCA","AROS OPTICOS","","$9.20","$110.40",1,"DOCENA"
54,"9521C1","9521C1","SIN MARCA","AROS OPTICOS","","$9.20","$110.40",8,"DOCENA"
55,"9521C3","9521C3","SIN MARCA","AROS OPTICOS","","$9.20","$110.40",1,"DOCENA"
56,"9521C5","9521C5","SIN MARCA","AROS OPTICOS","","$9.20","$110.40",1,"DOCENA"
57,"9526C1","9526C1","SIN MARCA","AROS OPTICOS","","$9.20","$110.40",9,"DOCENA"
58,"9526C3","9526C3","SIN MARCA","AROS OPTICOS","","$9.20","$110.40",1,"DOCENA"
59,"9526C4","9526C4","SIN MARCA","AROS OPTICOS","","$9.20","$110.40",1,"DOCENA"
60,"9526C5","9526C5","SIN MARCA","AROS OPTICOS","","$9.20","$110.40",1,"DOCENA"
61,"9527C1","9527C1","SIN MARCA","AROS OPTICOS","","$9.20","$110.40",8,"DOCENA"
62,"9527C2","9527C2","SIN MARCA","AROS OPTICOS","","$9.20","$110.40",1,"DOCENA"
63,"9527C3","9527C3","SIN MARCA","AROS OPTICOS","","$9.20","$110.40",1,"DOCENA"
64,"9527C4","9527C4","SIN MARCA","AROS OPTICOS","","$9.20","$110.40",1,"DOCENA"
65,"9527C5","9527C5","SIN MARCA","AROS OPTICOS","","$9.20","$110.40",1,"DOCENA"
66,"9663C1","9663C1","SIN MARCA","AROS OPTICOS","","$9.20","$110.40",8,"DOCENA"
67,"9663C2","9663C2","SIN MARCA","AROS OPTICOS","","$9.20","$110.40",1,"DOCENA"
68,"9663C3","9663C3","SIN MARCA","AROS OPTICOS","","$9.20","$110.40",1,"DOCENA"
69,"9663C5","9663C5","SIN MARCA","AROS OPTICOS","","$9.20","$110.40",1,"DOCENA"
70,"9664C1","9664C1","SIN MARCA","AROS OPTICOS","","$9.20","$110.40",8,"DOCENA"
71,"9664C2","9664C2","SIN MARCA","AROS OPTICOS","","$9.20","$110.40",1,"DOCENA"
72,"9664C3","9664C3","SIN MARCA","AROS OPTICOS","","$9.20","$110.40",1,"DOCENA"
73,"9664C4","9664C4","SIN MARCA","AROS OPTICOS","","$9.20","$110.40",1,"DOCENA"
74,"9669C2","9669C2","SIN MARCA","AROS OPTICOS","","$9.20","$110.40",1,"DOCENA"
75,"9669C3","9669C3","SIN MARCA","AROS OPTICOS","","$9.20","$110.40",1,"DOCENA"
76,"9669C4","9669C4","SIN MARCA","AROS OPTICOS","","$9.20","$110.40",1,"DOCENA"
77,"9669C5","9669C5","SIN MARCA","AROS OPTICOS","","$9.20","$110.40",1,"DOCENA"
78,"9686C2","9686C2","SIN MARCA","AROS OPTICOS","","$9.20","$110.40",1,"DOCENA"
79,"9686C3","9686C3","SIN MARCA","AROS OPTICOS","","$9.20","$110.40",1,"DOCENA"
80,"9686C5","9686C5","SIN MARCA","AROS OPTICOS","","$9.20","$110.40",1,"DOCENA"
81,"9689C1","9689C1","SIN MARCA","AROS OPTICOS","","$9.20","$110.40",8,"DOCENA"
82,"9689C2","9689C2","SIN MARCA","AROS OPTICOS","","$9.20","$110.40",1,"DOCENA"
83,"9689C5","9689C5","SIN MARCA","AROS OPTICOS","","$9.20","$110.40",1,"DOCENA"
84,"9745C1","9745C1","SIN MARCA","AROS OPTICOS","","$9.20","$110.40",8,"DOCENA"
85,"9745C3","9745C3","SIN MARCA","AROS OPTICOS","","$9.20","$110.40",1,"DOCENA"
86,"9745C4","9745C4","SIN MARCA","AROS OPTICOS","","$9.20","$110.40",1,"DOCENA"
87,"9745C5","9745C5","SIN MARCA","AROS OPTICOS","","$9.20","$110.40",1,"DOCENA"
88,"997BLKP200","997BLKP200","SIN MARCA","AROS OPTICOS","","$0.60","$7.20",20,"DOCENA"
89,"997BLUEP250","997BLUEP250","SIN MARCA","AROS OPTICOS","","$0.60","$7.20",10,"DOCENA"
90,"A1028C1-1","A1028C1-1","ROSSETI","AROS OPTICOS","","$4.40","$52.80",1,"DOCENA"
91,"A1029C4","A1029C4","ROSSETI","AROS OPTICOS","","$4.40","$52.80",19,"DOCENA"
92,"A1032C4","A1032C4","ROSSETI","AROS OPTICOS","","$4.40","$52.80",6,"DOCENA"
93,"A1032C5","A1032C5","ROSSETI","AROS OPTICOS","","$4.40","$52.80",12,"DOCENA"
94,"A1033C3","A1033C3","ROSSETI","AROS OPTICOS","","$4.40","$52.80",13,"DOCENA"
95,"A1033C5","A1033C5","ROSSETI","AROS OPTICOS","","$4.40","$52.80",29,"DOCENA"
96,"A1034C3","A1034C3","ROSSETI","AROS OPTICOS","","$4.40","$52.80",4,"DOCENA"
97,"A1034C4","A1034C4","ROSSETI","AROS OPTICOS","","$4.40","$52.80",18,"DOCENA"
98,"A2015C1","A2015C1","GOLF PLAYER","AROS OPTICOS","","$3.70","$44.40",14,"DOCENA"
99,"A9011C4","A9011C4","N/A","N/A","Acetato / Metal","$7.90","$94.80",1,"DOCENA"
100,"ANTIALLERGYLINE","ANTIALLERGYLINE","SM","AROS OPTICOS","Nylon","$0.21","$2.52",14,"DOCENA"
101,"B071","B071","SIN MARCA","AROS OPTICOS","","$10.50","$126.00",17,"DOCENA"
102,"BACHELLET121101","BACHELLET121101","BACHELLET","AROS OPTICOS","Metal","$1.42","$17.04",210,"DOCENA"
103,"BACHELLET121102","BACHELLET121102","BACHELLET","AROS OPTICOS","Metal","$1.42","$17.04",486,"DOCENA"
104,"BACHELLET121103","BACHELLET121103","BACHELLET","AROS OPTICOS","Metal","$1.42","$17.04",232,"DOCENA"
105,"BACHELLET121104","BACHELLET121104","BACHELLET","AROS OPTICOS","Metal","$1.42","$17.04",65,"DOCENA"
106,"BACHELLET121105","BACHELLET121105","BACHELLET","AROS OPTICOS","Metal","$1.42","$17.04",462,"DOCENA"
107,"BACHELLET121107","BACHELLET121107","BACHELLET","AROS OPTICOS","Metal","$1.42","$17.04",65,"DOCENA"
108,"BACHELLET121108","BACHELLET121108","BACHELLET","AROS OPTICOS","Metal","$1.42","$17.04",221,"DOCENA"
109,"BACHELLET121109","BACHELLET121109","BACHELLET","AROS OPTICOS","Metal","$1.42","$17.04",305,"DOCENA"
110,"BELLUNO240952C1","BELLUNO240952C1","N/A","N/A","Acetato / Metal","$4.40","$52.80",4,"DOCENA"
111,"BOTTERI251001C1","BOTTERI251001C1","BOTTERI","AROS OPTICOS","","$4.08","$48.96",281,"DOCENA"
112,"BOTTERI251002C1","BOTTERI251002C1","BOTTERI","AROS OPTICOS","","$4.08","$48.96",240,"DOCENA"
113,"BOTTERI251003C1","BOTTERI251003C1","BOTTERI","AROS OPTICOS","","$4.08","$48.96",299,"DOCENA"
114,"BOTTERI251005C1","BOTTERI251005C1","BOTTERI","AROS OPTICOS","","$4.08","$48.96",294,"DOCENA"
115,"BOTTERI251006C1","BOTTERI251006C1","BOTTERI","AROS OPTICOS","","$4.08","$48.96",298,"DOCENA"
116,"BOTTERI251007C1","BOTTERI251007C1","BOTTERI","AROS OPTICOS","","$4.08","$48.96",248,"DOCENA"
117,"BOTTERI251008C1","BOTTERI251008C1","BOTTERI","AROS OPTICOS","","$4.08","$48.96",267,"DOCENA"
118,"BOTTERI251009C1","BOTTERI251009C1","BOTTERI","AROS OPTICOS","","$4.08","$48.96",265,"DOCENA"
119,"BOTTERI251010C1","BOTTERI251010C1","BOTTERI","AROS OPTICOS","","$4.08","$48.96",256,"DOCENA"
120,"BOTTERI251011C1","BOTTERI251011C1","BOTTERI","AROS OPTICOS","","$4.08","$48.96",281,"DOCENA"
121,"BOTTERI251012C1","BOTTERI251012C1","BOTTERI","AROS OPTICOS","","$4.08","$48.96",239,"DOCENA"
122,"BOTTERI251013C1","BOTTERI251013C1","BOTTERI","AROS OPTICOS","","$4.08","$48.96",270,"DOCENA"
123,"BOTTERI251015C1","BOTTERI251015C1","BOTTERI","AROS OPTICOS","","$4.08","$48.96",276,"DOCENA"
124,"BOTTERI251016C1","BOTTERI251016C1","BOTTERI","AROS OPTICOS","","$4.08","$48.96",293,"DOCENA"
125,"BOTTERI251018C1","BOTTERI251018C1","BOTTERI","AROS OPTICOS","","$4.08","$48.96",281,"DOCENA"
126,"BOTTERI251020C1","BOTTERI251020C1","BOTTERI","AROS OPTICOS","","$4.08","$48.96",282,"DOCENA"
127,"BOX98","BOX98","SM","ESTUCHE","","$0.29","$3.48",1170,"DOCENA"
128,"BUTTONBROWN","BUTTONBROWN","SM","AROS OPTICOS","Sintético","$0.80","$9.60",171,"DOCENA"
129,"BUTTONWHITE","BUTTONWHITE","SM","AROS OPTICOS","Sintético","$0.80","$9.60",564,"DOCENA"
130,"C5291C6","C5291C6","N/A","N/A","Acetato / Metal","$2.80","$33.60",8,"DOCENA"
131,"CANDIOTTI251001C1","CANDIOTTI251001C1","CANDIOTTI","AROS OPTICOS","","$2.40","$28.80",181,"DOCENA"
132,"CANDIOTTI251001C2","CANDIOTTI251001C2","CANDIOTTI","AROS OPTICOS","","$2.40","$28.80",110,"DOCENA"
133,"CANDIOTTI251001C3","CANDIOTTI251001C3","CANDIOTTI","AROS OPTICOS","","$2.40","$28.80",114,"DOCENA"
134,"CANDIOTTI251002C1","CANDIOTTI251002C1","CANDIOTTI","AROS OPTICOS","","$2.40","$28.80",162,"DOCENA"
135,"CANDIOTTI251002C2","CANDIOTTI251002C2","CANDIOTTI","AROS OPTICOS","","$2.40","$28.80",146,"DOCENA"
136,"CANDIOTTI251002C3","CANDIOTTI251002C3","CANDIOTTI","AROS OPTICOS","","$2.40","$28.80",132,"DOCENA"
137,"CANDIOTTI251003C1","CANDIOTTI251003C1","CANDIOTTI","AROS OPTICOS","","$2.40","$28.80",150,"DOCENA"
138,"CANDIOTTI251003C2","CANDIOTTI251003C2","CANDIOTTI","AROS OPTICOS","","$2.40","$28.80",88,"DOCENA"
139,"CANDIOTTI251004C1","CANDIOTTI251004C1","CANDIOTTI","AROS OPTICOS","","$2.40","$28.80",225,"DOCENA"
140,"CANDIOTTI251004C2","CANDIOTTI251004C2","CANDIOTTI","AROS OPTICOS","","$2.40","$28.80",182,"DOCENA"
141,"CANDIOTTI251004C3","CANDIOTTI251004C3","CANDIOTTI","AROS OPTICOS","","$2.40","$28.80",149,"DOCENA"
142,"CANDIOTTI251005C1","CANDIOTTI251005C1","CANDIOTTI","AROS OPTICOS","","$2.40","$28.80",170,"DOCENA"
143,"CANDIOTTI251005C2","CANDIOTTI251005C2","CANDIOTTI","AROS OPTICOS","","$2.40","$28.80",151,"DOCENA"
144,"CANDIOTTI251006C2","CANDIOTTI251006C2","CANDIOTTI","AROS OPTICOS","","$2.40","$28.80",149,"DOCENA"
145,"CANDIOTTI251006C3","CANDIOTTI251006C3","CANDIOTTI","AROS OPTICOS","","$2.40","$28.80",166,"DOCENA"
146,"CANDIOTTI251007C2","CANDIOTTI251007C2","CANDIOTTI","AROS OPTICOS","","$2.40","$28.80",87,"DOCENA"
147,"CANDIOTTI251007C3","CANDIOTTI251007C3","CANDIOTTI","AROS OPTICOS","","$2.40","$28.80",54,"DOCENA"
148,"CANDIOTTI251008C1","CANDIOTTI251008C1","CANDIOTTI","AROS OPTICOS","","$2.40","$28.80",190,"DOCENA"
149,"CANDIOTTI251008C2","CANDIOTTI251008C2","CANDIOTTI","AROS OPTICOS","","$2.40","$28.80",190,"DOCENA"
150,"CANDIOTTI251009C1","CANDIOTTI251009C1","CANDIOTTI","AROS OPTICOS","","$2.80","$33.60",140,"DOCENA"
151,"CANDIOTTI251009C2","CANDIOTTI251009C2","CANDIOTTI","AROS OPTICOS","","$2.81","$33.72",126,"DOCENA"
152,"CANDIOTTI251009C3","CANDIOTTI251009C3","CANDIOTTI","AROS OPTICOS","","$2.82","$33.84",143,"DOCENA"
153,"CANDIOTTI251010C1","CANDIOTTI251010C1","CANDIOTTI","AROS OPTICOS","","$2.83","$33.96",180,"DOCENA"
154,"CANDIOTTI251010C2","CANDIOTTI251010C2","CANDIOTTI","AROS OPTICOS","","$2.84","$34.08",176,"DOCENA"
155,"CANDIOTTI251010C3","CANDIOTTI251010C3","CANDIOTTI","AROS OPTICOS","","$2.85","$34.20",145,"DOCENA"
156,"CANDIOTTI251011C1","CANDIOTTI251011C1","CANDIOTTI","AROS OPTICOS","","$2.86","$34.32",180,"DOCENA"
157,"CANDIOTTI251011C2","CANDIOTTI251011C2","CANDIOTTI","AROS OPTICOS","","$2.87","$34.44",193,"DOCENA"
158,"CANDIOTTI251011C3","CANDIOTTI251011C3","CANDIOTTI","AROS OPTICOS","","$2.88","$34.56",171,"DOCENA"
159,"CANDIOTTI251012C1","CANDIOTTI251012C1","CANDIOTTI","AROS OPTICOS","","$2.89","$34.68",160,"DOCENA"
160,"CANDIOTTI251012C2","CANDIOTTI251012C2","CANDIOTTI","AROS OPTICOS","","$2.90","$34.80",174,"DOCENA"
161,"CANDIOTTI251012C3","CANDIOTTI251012C3","CANDIOTTI","AROS OPTICOS","","$2.91","$34.92",107,"DOCENA"
162,"CANDIOTTI251013C1","CANDIOTTI251013C1","CANDIOTTI","AROS OPTICOS","","$2.92","$35.04",194,"DOCENA"
163,"CANDIOTTI251013C2","CANDIOTTI251013C2","CANDIOTTI","AROS OPTICOS","","$2.93","$35.16",190,"DOCENA"
164,"CANDIOTTI251013C3","CANDIOTTI251013C3","CANDIOTTI","AROS OPTICOS","","$2.94","$35.28",178,"DOCENA"
165,"CASE10C1","CASE10C1","SM","AROS OPTICOS","Sintético","$0.65","$7.80",618,"DOCENA"
166,"CASE10C2","CASE10C2","SM","AROS OPTICOS","Sintético","$0.65","$7.80",23,"DOCENA"
167,"CASE15A","CASE15A","S-M","ESTUCHE","PVC","$0.63","$7.56",266,"DOCENA"
168,"CASE35","CASE35","SM","ESTUCHE","PVC","$0.62","$7.44",131,"DOCENA"
169,"CASE42","CASE42","SM","ESTUCHE","PVC","$0.62","$7.44",4,"DOCENA"
170,"CASE4BLUE","CASE4BLUE","SM","AROS OPTICOS","Sintético","$0.57","$6.84",487,"DOCENA"
171,"CASE4C2","CASE4C2","SM","AROS OPTICOS","Sintético","$0.63","$7.56",130,"DOCENA"
172,"CASE4C3","CASE4C3","SM","AROS OPTICOS","Sintético","$0.63","$7.56",435,"DOCENA"
173,"CASE4GREEN","CASE4GREEN","SM","AROS OPTICOS","Sintético","$0.57","$6.84",984,"DOCENA"
174,"CASE4RED","CASE4RED","SM","AROS OPTICOS","Sintético","$0.57","$6.84",532,"DOCENA"
175,"CASE51","CASE51","SM","ESTUCHE","PVC","$0.62","$7.44",4,"DOCENA"
176,"CASE53","CASE53","SM","ESTUCHE","PVC","$0.62","$7.44",426,"DOCENA"
177,"CASE54","CASE54","SM","ESTUCHE","PVC","$0.62","$7.44",404,"DOCENA"
178,"CASE57","CASE57","SM","ESTUCHE","PVC","$0.62","$7.44",64,"DOCENA"
179,"CASE5BLUE","CASE5BLUE","SM","AROS OPTICOS","Sintético","$0.62","$7.44",899,"DOCENA"
180,"CASE5GREY","CASE5GREY","SM","AROS OPTICOS","Sintético","$0.62","$7.44",722,"DOCENA"
181,"CASE5RED","CASE5RED","SM","AROS OPTICOS","Sintético","$0.62","$7.44",815,"DOCENA"
182,"CASE6BELLUNO","CASE6BELLUNO","BELLUNO","AROS OPTICOS","Sintético","$0.54","$6.48",8940,"DOCENA"
183,"CASE6BLACKN","CASE6BLACKN","SM","AROS OPTICOS","Sintético","$1.25","$15.00",299,"DOCENA"
184,"CASE6REDN","CASE6REDN","SM","AROS OPTICOS","Sintético","$1.25","$15.00",287,"DOCENA"
185,"CASE70","CASE70","SM","ESTUCHE","PVC","$0.82","$9.84",79,"DOCENA"
186,"CASE7C4","CASE7C4","SM","AROS OPTICOS","Sintético","$0.63","$7.56",292,"DOCENA"
187,"CASE87","CASE87","SM","ESTUCHE","Sintético","$0.62","$7.44",1,"DOCENA"
188,"CASE8C3","CASE8C3","SM","AROS OPTICOS","Sintético","$0.63","$7.56",484,"DOCENA"
189,"CASE8PURPLE","CASE8PURPLE","SM","AROS OPTICOS","PVC","$0.57","$6.84",134,"DOCENA"
190,"CE353608C4","CE353608C4","N/A","N/A","Acetato / Metal","$3.70","$44.40",8,"DOCENA"
191,"CH0027-LHF","CH0027-LHF","N/A","N/A","Acetato / Metal","$56.00","$672.00",1,"DOCENA"
192,"CHAIRS","CHAIRS","SM","AROS OPTICOS","","$30.00","$360.00",19,"DOCENA"
193,"CIRCLERINGBLUE","CIRCLERINGBLUE","SM","AROS OPTICOS","Sintético","$0.38","$4.56",778,"DOCENA"
194,"CIRCLERINGCRYSTAL","CIRCLERINGCRYSTAL","SM","AROS OPTICOS","Silicona","$0.38","$4.56",51,"DOCENA"
195,"CLIPPOUCHBLK","CLIPPOUCHBLK","SM","AROS OPTICOS","Sintético","$0.63","$7.56",1902,"DOCENA"
196,"CONTACTLENSCASE","CONTACTLENSCASE","S-M","ESTUCHE","Plástico","$0.29","$3.48",5499,"DOCENA"
197,"CONTACTLENSCASE2GOL","CONTACTLENSCASE2GOL","SM","AROS OPTICOS","Plástico","$1.00","$12.00",102,"DOCENA"
198,"CONTACTLENSCASE2PINK","CONTACTLENSCASE2PINK","SM","AROS OPTICOS","Plástico","$1.00","$12.00",102,"DOCENA"
199,"CONTACTLENSCASE3PINK","CONTACTLENSCASE3PINK","SM","AROS OPTICOS","","$1.00","$12.00",36,"DOCENA"
200,"CONTACTLENSCASE3SIL","CONTACTLENSCASE3SIL","SM","AROS OPTICOS","","$1.00","$12.00",59,"DOCENA"
201,"D3379C1","D3379C1","N/A","N/A","Acetato / Metal","$7.80","$93.60",3,"DOCENA"
202,"D3436C2","D3436C2","N/A","N/A","Acetato / Metal","$7.30","$87.60",5,"DOCENA"
203,"D3596C1","D3596C1","SIN MARCA","AROS OPTICOS","","$8.90","$106.80",8,"DOCENA"
204,"D3596C2","D3596C2","SIN MARCA","AROS OPTICOS","","$8.90","$106.80",1,"DOCENA"
205,"D3596C3","D3596C3","SIN MARCA","AROS OPTICOS","","$8.90","$106.80",1,"DOCENA"
206,"D3596C4","D3596C4","SIN MARCA","AROS OPTICOS","","$8.90","$106.80",1,"DOCENA"
207,"D3596C5","D3596C5","SIN MARCA","AROS OPTICOS","","$8.90","$106.80",1,"DOCENA"
208,"D3628C1","D3628C1","SIN MARCA","AROS OPTICOS","","$8.90","$106.80",8,"DOCENA"
209,"D3628C2","D3628C2","SIN MARCA","AROS OPTICOS","","$8.90","$106.80",1,"DOCENA"
210,"D3628C3","D3628C3","SIN MARCA","AROS OPTICOS","","$8.90","$106.80",1,"DOCENA"
211,"D3628C4","D3628C4","SIN MARCA","AROS OPTICOS","","$8.90","$106.80",1,"DOCENA"
212,"D3628C5","D3628C5","SIN MARCA","AROS OPTICOS","","$8.90","$106.80",1,"DOCENA"
213,"D3672C1","D3672C1","SIN MARCA","AROS OPTICOS","","$8.90","$106.80",10,"DOCENA"
214,"D3672C2","D3672C2","SIN MARCA","AROS OPTICOS","","$8.90","$106.80",1,"DOCENA"
215,"D3672C4","D3672C4","SIN MARCA","AROS OPTICOS","","$8.90","$106.80",1,"DOCENA"
216,"D3674C1","D3674C1","SIN MARCA","AROS OPTICOS","","$8.90","$106.80",9,"DOCENA"
217,"D3674C2","D3674C2","SIN MARCA","AROS OPTICOS","","$8.90","$106.80",1,"DOCENA"
218,"D3674C3","D3674C3","SIN MARCA","AROS OPTICOS","","$8.90","$106.80",1,"DOCENA"
219,"D3674C4","D3674C4","SIN MARCA","AROS OPTICOS","","$8.90","$106.80",1,"DOCENA"
220,"D3676C1","D3676C1","SIN MARCA","AROS OPTICOS","","$8.90","$106.80",9,"DOCENA"
221,"D3676C2","D3676C2","SIN MARCA","AROS OPTICOS","","$8.90","$106.80",1,"DOCENA"
222,"D3676C3","D3676C3","SIN MARCA","AROS OPTICOS","","$8.90","$106.80",1,"DOCENA"
223,"D3676C4","D3676C4","SIN MARCA","AROS OPTICOS","","$8.90","$106.80",1,"DOCENA"
224,"D3686C1","D3686C1","SIN MARCA","AROS OPTICOS","","$8.90","$106.80",8,"DOCENA"
225,"D3686C2","D3686C2","SIN MARCA","AROS OPTICOS","","$8.90","$106.80",1,"DOCENA"
226,"D3686C3","D3686C3","SIN MARCA","AROS OPTICOS","","$8.90","$106.80",1,"DOCENA"
227,"D3686C5","D3686C5","SIN MARCA","AROS OPTICOS","","$8.90","$106.80",1,"DOCENA"
228,"D3700C1","D3700C1","SIN MARCA","AROS OPTICOS","","$8.90","$106.80",8,"DOCENA"
229,"D3700C2","D3700C2","SIN MARCA","AROS OPTICOS","","$8.90","$106.80",1,"DOCENA"
230,"D3700C3","D3700C3","SIN MARCA","AROS OPTICOS","","$8.90","$106.80",1,"DOCENA"
231,"D3700C4","D3700C4","SIN MARCA","AROS OPTICOS","","$8.90","$106.80",1,"DOCENA"
232,"D3700C5","D3700C5","SIN MARCA","AROS OPTICOS","","$8.90","$106.80",1,"DOCENA"
233,"D3701C1","D3701C1","SIN MARCA","AROS OPTICOS","","$8.90","$106.80",1,"DOCENA"
234,"D3701C2","D3701C2","SIN MARCA","AROS OPTICOS","","$8.90","$106.80",9,"DOCENA"
235,"D3702C1","D3702C1","SIN MARCA","AROS OPTICOS","","$8.90","$106.80",1,"DOCENA"
236,"D3702C2","D3702C2","SIN MARCA","AROS OPTICOS","","$8.90","$106.80",9,"DOCENA"
237,"D3702C3","D3702C3","SIN MARCA","AROS OPTICOS","","$8.90","$106.80",1,"DOCENA"
238,"D3702C4","D3702C4","SIN MARCA","AROS OPTICOS","","$8.90","$106.80",1,"DOCENA"
239,"D3703C1","D3703C1","SIN MARCA","AROS OPTICOS","","$8.90","$106.80",9,"DOCENA"
240,"D3703C4","D3703C4","SIN MARCA","AROS OPTICOS","","$8.90","$106.80",1,"DOCENA"
241,"D3706C1","D3706C1","SIN MARCA","AROS OPTICOS","","$8.90","$106.80",1,"DOCENA"
242,"D3706C2","D3706C2","SIN MARCA","AROS OPTICOS","","$8.90","$106.80",9,"DOCENA"
243,"D3706C3","D3706C3","SIN MARCA","AROS OPTICOS","","$8.90","$106.80",1,"DOCENA"
244,"D3706C4","D3706C4","SIN MARCA","AROS OPTICOS","","$8.90","$106.80",1,"DOCENA"
245,"D3814C1","D3814C1","SIN MARCA","AROS OPTICOS","","$8.90","$106.80",8,"DOCENA"
246,"D3814C2","D3814C2","SIN MARCA","AROS OPTICOS","","$8.90","$106.80",1,"DOCENA"
247,"D3814C3","D3814C3","SIN MARCA","AROS OPTICOS","","$8.90","$106.80",1,"DOCENA"
248,"D3814C4","D3814C4","SIN MARCA","AROS OPTICOS","","$8.90","$106.80",1,"DOCENA"
249,"D3814C5","D3814C5","SIN MARCA","AROS OPTICOS","","$8.90","$106.80",1,"DOCENA"
250,"DAVISTA251001C1","DAVISTA251001C1","DAVISTA","AROS OPTICOS","","$3.60","$43.20",1,"DOCENA"
251,"DAVISTA251001C2","DAVISTA251001C2","DAVISTA","AROS OPTICOS","","$3.60","$43.20",1,"DOCENA"
252,"DAVISTA251001C3","DAVISTA251001C3","DAVISTA","AROS OPTICOS","","$3.60","$43.20",1,"DOCENA"
253,"DAVISTA251002C1","DAVISTA251002C1","DAVISTA","AROS OPTICOS","","$3.60","$43.20",1,"DOCENA"
254,"DAVISTA251002C2","DAVISTA251002C2","DAVISTA","AROS OPTICOS","","$3.60","$43.20",1,"DOCENA"
255,"DAVISTA251002C3","DAVISTA251002C3","DAVISTA","AROS OPTICOS","","$3.60","$43.20",1,"DOCENA"
256,"DAVISTA251003C1","DAVISTA251003C1","DAVISTA","AROS OPTICOS","","$3.60","$43.20",1,"DOCENA"
257,"DAVISTA251003C2","DAVISTA251003C2","DAVISTA","AROS OPTICOS","","$3.60","$43.20",1,"DOCENA"
258,"DAVISTA251003C3","DAVISTA251003C3","DAVISTA","AROS OPTICOS","","$3.60","$43.20",1,"DOCENA"
259,"DAVISTA251004C1","DAVISTA251004C1","DAVISTA","AROS OPTICOS","","$3.60","$43.20",1,"DOCENA"
260,"DAVISTA251004C2","DAVISTA251004C2","DAVISTA","AROS OPTICOS","","$3.60","$43.20",1,"DOCENA"
261,"DAVISTA251004C3","DAVISTA251004C3","DAVISTA","AROS OPTICOS","","$3.60","$43.20",1,"DOCENA"
262,"DAVISTA251005C1","DAVISTA251005C1","DAVISTA","AROS OPTICOS","","$3.60","$43.20",1,"DOCENA"
263,"DAVISTA251005C2","DAVISTA251005C2","DAVISTA","AROS OPTICOS","","$3.60","$43.20",1,"DOCENA"
264,"DAVISTA251005C3","DAVISTA251005C3","DAVISTA","AROS OPTICOS","","$3.60","$43.20",1,"DOCENA"
265,"DAVISTA251006C2","DAVISTA251006C2","DAVISTA","AROS OPTICOS","","$3.60","$43.20",1,"DOCENA"
266,"DAVISTA251006C3","DAVISTA251006C3","DAVISTA","AROS OPTICOS","","$3.60","$43.20",1,"DOCENA"
267,"DAVISTA251007C1","DAVISTA251007C1","DAVISTA","AROS OPTICOS","","$3.60","$43.20",1,"DOCENA"
268,"DAVISTA251007C2","DAVISTA251007C2","DAVISTA","AROS OPTICOS","","$3.60","$43.20",1,"DOCENA"
269,"DAVISTA251007C3","DAVISTA251007C3","DAVISTA","AROS OPTICOS","","$3.60","$43.20",1,"DOCENA"
270,"DAVISTA251008C1","DAVISTA251008C1","DAVISTA","AROS OPTICOS","","$3.60","$43.20",1,"DOCENA"
271,"DAVISTA251008C2","DAVISTA251008C2","DAVISTA","AROS OPTICOS","","$3.60","$43.20",1,"DOCENA"
272,"DAVISTA251008C3","DAVISTA251008C3","DAVISTA","AROS OPTICOS","","$3.60","$43.20",1,"DOCENA"
273,"DAVISTA251009C1","DAVISTA251009C1","DAVISTA","AROS OPTICOS","","$2.75","$33.00",1,"DOCENA"
274,"DAVISTA251009C2","DAVISTA251009C2","DAVISTA","AROS OPTICOS","","$2.75","$33.00",1,"DOCENA"
275,"DAVISTA251009C3","DAVISTA251009C3","DAVISTA","AROS OPTICOS","","$2.75","$33.00",1,"DOCENA"
276,"DAVISTA251010C1","DAVISTA251010C1","DAVISTA","AROS OPTICOS","","$3.60","$43.20",1,"DOCENA"
277,"DAVISTA251010C2","DAVISTA251010C2","DAVISTA","AROS OPTICOS","","$3.60","$43.20",1,"DOCENA"
278,"DAVISTA251010C3","DAVISTA251010C3","DAVISTA","AROS OPTICOS","","$3.60","$43.20",1,"DOCENA"
279,"DAVISTA251011C1","DAVISTA251011C1","DAVISTA","AROS OPTICOS","","$2.75","$33.00",1,"DOCENA"
280,"DAVISTA251011C2","DAVISTA251011C2","DAVISTA","AROS OPTICOS","","$2.75","$33.00",1,"DOCENA"
