#,Referencia,Codigo,Marca,Categoria,Material,Precio Unitario Pza,Precio Docena (x12),Stock Actual (Pzas),Tipo Venta BD
433,"KEEPER5N","KEEPER5N","SM","AROS OPTICOS","Plástico","$0.38","$4.56",360,"DOCENA"
434,"KEEPER6N","KEEPER6N","SM","CORDONES","","$0.42","$5.04",708,"DOCENA"
435,"KEEPER7N","KEEPER7N","SM","CORDONES","Sintético","$0.42","$5.04",806,"DOCENA"
436,"KEEPER8N","KEEPER8N","SM","AROS OPTICOS","Plástico","$0.14","$1.68",408,"DOCENA"
437,"KEEPER9N","KEEPER9N","SM","AROS OPTICOS","Plástico","$0.50","$6.00",276,"DOCENA"
438,"LE1137C1","LE1137C1","GALLARDO","AROS OPTICOS","","$5.50","$66.00",1,"DOCENA"
439,"LE6447C2","LE6447C2","MATSUDA","AROS OPTICOS","","$7.80","$93.60",1,"DOCENA"
440,"LE6521C5","LE6521C5","MAR-GEL","AROS OPTICOS","","$7.90","$94.80",12,"DOCENA"
441,"LE6523C2","LE6523C2","MAR-GEL","AROS OPTICOS","","$7.90","$94.80",7,"DOCENA"
442,"LE6525C1","LE6525C1","MAR-GEL","AROS OPTICOS","","$7.90","$94.80",12,"DOCENA"
443,"LE8901C4","LE8901C4","MAR-GEL","AROS OPTICOS","","$6.50","$78.00",12,"DOCENA"
444,"LE9001C1","LE9001C1","SM","AROS OPTICOS","","$3.90","$46.80",1,"DOCENA"
445,"LE9013C4","LE9013C4","SM","AROS OPTICOS","","$3.90","$46.80",1,"DOCENA"
446,"LE9015C3","LE9015C3","GREKO","AROS OPTICOS","","$3.70","$44.40",1,"DOCENA"
447,"LE9015C4","LE9015C4","GREKO","AROS OPTICOS","","$3.70","$44.40",1,"DOCENA"
448,"LR909C3","LR909C3","N/A","N/A","Acetato / Metal","$7.30","$87.60",4,"DOCENA"
449,"LR910C5","LR910C5","N/A","N/A","Acetato / Metal","$7.30","$87.60",6,"DOCENA"
450,"LUTTI251001C1","LUTTI251001C1","LUTTI","AROS OPTICOS","","$5.00","$60.00",1,"DOCENA"
451,"LUTTI251002C1","LUTTI251002C1","LUTTI","AROS OPTICOS","","$5.00","$60.00",1,"DOCENA"
452,"LUTTI251003C1","LUTTI251003C1","LUTTI","AROS OPTICOS","","$5.00","$60.00",1,"DOCENA"
453,"LUTTI251004C1","LUTTI251004C1","LUTTI","AROS OPTICOS","","$5.00","$60.00",1,"DOCENA"
454,"LUTTI251005C1","LUTTI251005C1","LUTTI","AROS OPTICOS","","$5.00","$60.00",1,"DOCENA"
455,"LUTTI251006C1","LUTTI251006C1","LUTTI","AROS OPTICOS","","$5.00","$60.00",1,"DOCENA"
456,"LUTTI251007C1","LUTTI251007C1","LUTTI","AROS OPTICOS","","$5.00","$60.00",1,"DOCENA"
457,"LUTTI251009C1","LUTTI251009C1","LUTTI","AROS OPTICOS","","$5.00","$60.00",1,"DOCENA"
458,"LUTTI251010C1","LUTTI251010C1","LUTTI","AROS OPTICOS","","$5.00","$60.00",1,"DOCENA"
459,"LUTTI251011C1","LUTTI251011C1","LUTTI","AROS OPTICOS","","$5.00","$60.00",1,"DOCENA"
460,"LUTTI251012C1","LUTTI251012C1","LUTTI","AROS OPTICOS","","$5.00","$60.00",1,"DOCENA"
461,"LUTTI251013C1","LUTTI251013C1","LUTTI","AROS OPTICOS","","$5.00","$60.00",1,"DOCENA"
462,"LUTTI251014C1","LUTTI251014C1","LUTTI","AROS OPTICOS","","$5.00","$60.00",1,"DOCENA"
